Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cystophora,cristata,58.75,2.25,1500:382:3,0.1
Cystophora,cristata,58.75,2.75,1500:382:4,0.11
Cystophora,cristata,58.25,3.25,1500:383:1,0.09
Cystophora,cristata,58.25,3.75,1500:383:2,0.12
Cystophora,cristata,58.75,3.25,1500:383:3,0.11
Cystophora,cristata,58.75,3.75,1500:383:4,0.19
Cystophora,cristata,58.25,4.25,1500:384:1,0.18
Cystophora,cristata,59.25,0.25,1500:390:1,0.13
Cystophora,cristata,59.25,0.75,1500:390:2,0.13
Cystophora,cristata,59.75,0.25,1500:390:3,0.12
Cystophora,cristata,59.75,0.75,1500:390:4,0.12
Cystophora,cristata,59.25,1.25,1500:391:1,0.11
Cystophora,cristata,59.25,1.75,1500:391:2,0.11
Cystophora,cristata,59.75,1.25,1500:391:3,0.11
Cystophora,cristata,59.75,1.75,1500:391:4,0.11
Cystophora,cristata,59.25,2.25,1500:392:1,0.12
Cystophora,cristata,59.25,2.75,1500:392:2,0.12
Cystophora,cristata,59.75,2.25,1500:392:3,0.11
Cystophora,cristata,59.75,2.75,1500:392:4,0.11
Cystophora,cristata,59.25,3.25,1500:393:1,0.15
Cystophora,cristata,59.75,3.25,1500:393:3,0.16
Cystophora,cristata,59.75,4.75,1500:394:4,0.16
Cystophora,cristata,55.25,5.25,1500:455:1,0.03
Cystophora,cristata,55.25,5.75,1500:455:2,0.03
Cystophora,cristata,55.75,5.25,1500:455:3,0.04
Cystophora,cristata,55.75,5.75,1500:455:4,0.04
Cystophora,cristata,55.25,6.25,1500:456:1,0.04
Cystophora,cristata,55.25,6.75,1500:456:2,0.04
Cystophora,cristata,55.75,6.25,1500:456:3,0.04
Cystophora,cristata,55.75,6.75,1500:456:4,0.04
Cystophora,cristata,55.25,7.25,1500:457:1,0.03
Cystophora,cristata,55.25,7.75,1500:457:2,0.03
Cystophora,cristata,55.75,7.25,1500:457:3,0.03
Cystophora,cristata,55.75,7.75,1500:457:4,0.03
Cystophora,cristata,55.25,8.25,1500:458:1,0.02
Cystophora,cristata,55.25,8.75,1500:458:2,0.01
Cystophora,cristata,55.75,8.25,1500:458:3,0.02
Cystophora,cristata,56.25,5.25,1500:465:1,0.05
Cystophora,cristata,56.25,5.75,1500:465:2,0.05
Cystophora,cristata,56.75,5.25,1500:465:3,0.05
Cystophora,cristata,56.75,5.75,1500:465:4,0.04
Cystophora,cristata,56.25,6.25,1500:466:1,0.04
Cystophora,cristata,56.25,6.75,1500:466:2,0.04
Cystophora,cristata,56.75,6.25,1500:466:3,0.04
Cystophora,cristata,56.75,6.75,1500:466:4,0.04
Cystophora,cristata,56.25,7.25,1500:467:1,0.03
Cystophora,cristata,56.25,7.75,1500:467:2,0.03
Cystophora,cristata,56.75,7.25,1500:467:3,0.03
Cystophora,cristata,56.75,7.75,1500:467:4,0.03
Cystophora,cristata,56.25,8.25,1500:468:1,0.02
Cystophora,cristata,56.75,8.25,1500:468:3,0.02
Cystophora,cristata,56.75,8.75,1500:468:4,0.02
Cystophora,cristata,57.25,5.25,1500:475:1,0.04
Cystophora,cristata,57.25,5.75,1500:475:2,0.06
Cystophora,cristata,57.75,5.25,1500:475:3,0.1
Cystophora,cristata,57.75,5.75,1500:475:4,0.15
Cystophora,cristata,57.25,6.25,1500:476:1,0.06
Cystophora,cristata,57.25,6.75,1500:476:2,0.07
Cystophora,cristata,57.25,7.25,1500:477:1,0.07
Cystophora,cristata,57.25,7.75,1500:477:2,0.08
Cystophora,cristata,57.25,8.25,1500:478:1,0.04
Cystophora,cristata,57.25,8.75,1500:478:2,0.03
Cystophora,cristata,57.25,9.25,1500:479:1,0.02
Cystophora,cristata,57.25,9.75,1500:479:2,0.01
Cystophora,cristata,57.75,9.25,1500:479:3,0.13
Cystophora,cristata,57.75,9.75,1500:479:4,0.06
Cystophora,cristata,58.75,5.25,1500:485:3,0.18
Cystophora,cristata,58.75,5.75,1500:485:4,0.02
Cystophora,cristata,58.25,6.75,1500:486:2,0.06
Cystophora,cristata,58.25,7.75,1500:487:2,0.02
Cystophora,cristata,58.25,8.25,1500:488:1,0.13
Cystophora,cristata,58.75,8.75,1500:488:4,0.01
Cystophora,cristata,58.75,9.25,1500:489:3,0.11
Cystophora,cristata,58.75,9.75,1500:489:4,0.19
Cystophora,cristata,59.25,5.25,1500:495:1,0.08
Cystophora,cristata,59.25,5.75,1500:495:2,0.04
Cystophora,cristata,59.75,5.25,1500:495:3,0.01
Cystophora,cristata,59.75,5.75,1500:495:4,0.02
Cystophora,cristata,59.25,6.25,1500:496:1,0.01
Cystophora,cristata,56.75,10.75,1501:360:4,0.01
Cystophora,cristata,56.75,11.75,1501:361:4,0.01
Cystophora,cristata,56.25,12.25,1501:362:1,0.01
Cystophora,cristata,56.25,12.75,1501:362:2,0.01
Cystophora,cristata,56.75,12.25,1501:362:3,0.02
Cystophora,cristata,56.75,12.75,1501:362:4,0.01
Cystophora,cristata,57.25,10.25,1501:370:1,0.02
Cystophora,cristata,57.25,10.75,1501:370:2,0.01
Cystophora,cristata,57.75,10.25,1501:370:3,0.05
Cystophora,cristata,57.75,10.75,1501:370:4,0.06
Cystophora,cristata,57.25,11.25,1501:371:1,0.01
Cystophora,cristata,57.25,11.75,1501:371:2,0.02
Cystophora,cristata,57.75,11.25,1501:371:3,0.03
Cystophora,cristata,57.25,12.25,1501:372:1,0.02
Cystophora,cristata,58.25,10.75,1501:380:2,0.14
Cystophora,cristata,58.75,10.25,1501:380:3,0.12
Cystophora,cristata,58.75,10.75,1501:380:4,0.05
Cystophora,cristata,58.25,11.25,1501:381:1,0.03
Cystophora,cristata,58.75,11.25,1501:381:3,0.01
Cystophora,cristata,59.25,10.75,1501:390:2,0.02
Cystophora,cristata,59.75,10.75,1501:390:4,0.02
Cystophora,cristata,59.25,11.25,1501:391:1,0.01
Cystophora,cristata,60.25,0.25,1600:100:1,0.13
Cystophora,cristata,60.25,0.75,1600:100:2,0.13
Cystophora,cristata,60.75,0.25,1600:100:3,0.12
Cystophora,cristata,60.75,0.75,1600:100:4,0.13
Cystophora,cristata,60.25,1.25,1600:101:1,0.13
Cystophora,cristata,60.25,1.75,1600:101:2,0.11
Cystophora,cristata,60.75,1.25,1600:101:3,0.13
Cystophora,cristata,60.75,1.75,1600:101:4,0.13
Cystophora,cristata,60.25,2.25,1600:102:1,0.1
Cystophora,cristata,60.25,2.75,1600:102:2,0.1
Cystophora,cristata,60.75,2.25,1600:102:3,0.12
Cystophora,cristata,60.75,2.75,1600:102:4,0.14
Cystophora,cristata,60.25,3.25,1600:103:1,0.18
Cystophora,cristata,60.75,4.75,1600:104:4,0.14
Cystophora,cristata,61.25,0.25,1600:110:1,0.14
Cystophora,cristata,61.25,0.75,1600:110:2,0.15
Cystophora,cristata,61.25,1.25,1600:111:1,0.15
Cystophora,cristata,61.25,1.75,1600:111:2,0.15
Cystophora,cristata,61.25,4.75,1600:114:2,0.05
Cystophora,cristata,61.75,4.75,1600:114:4,0.06
Cystophora,cristata,62.25,4.25,1600:124:1,0.18
Cystophora,cristata,62.25,4.75,1600:124:2,0.16
Cystophora,cristata,60.25,5.25,1600:205:1,0.01
Cystophora,cristata,60.25,5.75,1600:205:2,0.04
Cystophora,cristata,60.25,6.25,1600:206:1,0.06
Cystophora,cristata,60.25,6.75,1600:206:2,0.01
Cystophora,cristata,61.25,5.25,1600:215:1,0.01
Cystophora,cristata,61.25,5.75,1600:215:2,0.08
Cystophora,cristata,61.75,5.25,1600:215:3,0.01
Cystophora,cristata,61.25,6.25,1600:216:1,0.09
Cystophora,cristata,61.25,6.75,1600:216:2,0.07
Cystophora,cristata,61.25,7.25,1600:217:1,0.02
Cystophora,cristata,62.25,5.25,1600:225:1,0.07
Cystophora,cristata,62.25,5.75,1600:225:2,0.02
Cystophora,cristata,62.75,5.25,1600:225:3,0.14
Cystophora,cristata,62.75,5.75,1600:225:4,0.08
Cystophora,cristata,62.25,6.25,1600:226:1,0.04
Cystophora,cristata,62.25,6.75,1600:226:2,0.01
Cystophora,cristata,62.75,6.25,1600:226:3,0.04
Cystophora,cristata,62.75,6.75,1600:226:4,0.02
Cystophora,cristata,62.25,7.25,1600:227:1,0.01
Cystophora,cristata,62.75,7.25,1600:227:3,0.02
Cystophora,cristata,62.75,8.25,1600:228:3,0.01
Cystophora,cristata,63.25,6.25,1600:236:1,0.18
Cystophora,cristata,63.25,6.75,1600:236:2,0.14
Cystophora,cristata,63.25,7.25,1600:237:1,0.14
Cystophora,cristata,63.25,7.75,1600:237:2,0.05
Cystophora,cristata,63.25,8.25,1600:238:1,0.01
