Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pagophilus,groenlandicus,67.75,15.75,1601:475:4,0.04
Pagophilus,groenlandicus,68.25,16.75,1601:486:2,0.19
Pagophilus,groenlandicus,69.25,17.75,1601:497:2,0.06
Pagophilus,groenlandicus,69.25,18.25,1601:498:1,0.11
Pagophilus,groenlandicus,69.25,18.75,1601:498:2,0.12
Pagophilus,groenlandicus,69.75,18.75,1601:498:4,0.13
Pagophilus,groenlandicus,69.25,19.25,1601:499:1,0.06
Pagophilus,groenlandicus,69.75,19.25,1601:499:3,0.12
Pagophilus,groenlandicus,60.25,21.25,1602:101:1,0.01
Pagophilus,groenlandicus,61.75,21.25,1602:111:3,0.01
Pagophilus,groenlandicus,62.75,20.25,1602:120:3,0.01
Pagophilus,groenlandicus,62.75,20.75,1602:120:4,0.02
Pagophilus,groenlandicus,63.25,20.25,1602:130:1,0.01
Pagophilus,groenlandicus,63.25,20.75,1602:130:2,0.01
Pagophilus,groenlandicus,60.25,29.75,1602:209:2,0.01
Pagophilus,groenlandicus,69.75,21.25,1602:391:3,0.14
Pagophilus,groenlandicus,69.75,21.75,1602:391:4,0.12
Pagophilus,groenlandicus,60.25,30.25,1603:100:1,0.02
Pagophilus,groenlandicus,64.75,34.75,1603:144:4,0.05
Pagophilus,groenlandicus,63.75,36.75,1603:236:4,0.16
Pagophilus,groenlandicus,64.25,35.25,1603:245:1,0.03
Pagophilus,groenlandicus,64.25,35.75,1603:245:2,0.03
Pagophilus,groenlandicus,64.75,35.25,1603:245:3,0.05
Pagophilus,groenlandicus,64.75,35.75,1603:245:4,0.06
Pagophilus,groenlandicus,64.25,36.25,1603:246:1,0.07
Pagophilus,groenlandicus,64.25,36.75,1603:246:2,0.09
Pagophilus,groenlandicus,64.75,36.25,1603:246:3,0.15
Pagophilus,groenlandicus,64.75,36.75,1603:246:4,0.11
Pagophilus,groenlandicus,64.25,37.25,1603:247:1,0.11
Pagophilus,groenlandicus,64.25,37.75,1603:247:2,0.15
Pagophilus,groenlandicus,64.75,37.75,1603:247:4,0.19
Pagophilus,groenlandicus,64.25,38.25,1603:248:1,0.17
Pagophilus,groenlandicus,65.25,34.25,1603:354:1,0.03
Pagophilus,groenlandicus,65.25,34.75,1603:354:2,0.1
Pagophilus,groenlandicus,67.25,31.75,1603:371:2,0.01
Pagophilus,groenlandicus,67.25,32.25,1603:372:1,0.06
Pagophilus,groenlandicus,67.25,32.75,1603:372:2,0.09
