"Internal_reference","Survey","Polygon","Commonname","Validname","Family","Class","Order","RES","Type","Partial_cell_area","Density","Uncertainty","Uncertainty_measure","CI_95_low","CI_95_high","Location","Study_area"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.91,"Native Range",232.346722501057,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.77,"Native Range",470.393697678118,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.95,"Native Range",707.824818060634,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.76,"Native Range",244.082961758425,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.74,"Native Range",150.111270910919,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.89,"Native Range",837.780036139851,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.77,"Native Range",362.31711351802,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.82,"Native Range",568.537674154114,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.77,"Native Range",694.594489707895,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.87,"Native Range",168.74884378647,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.75,"Native Range",837.584507696477,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.89,"Native Range",252.930095921364,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.81,"Native Range",663.304776256726,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.86,"Native Range",599.235044969843,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.87,"Native Range",179.203876737353,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.84,"Native Range",661.93381514431,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.74,"Native Range",628.491648493713,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",1,"Native Range",577.537695746486,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.94,"Native Range",194.070929085354,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.9,"Native Range",162.437210080644,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
