Commonname,Validname,Family,Class,Order,CenterLat,CenterLong,RES,Study_area
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,142.750000000000000,0.040000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.750000000000000,142.250000000000000,0.060000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.750000000000000,142.750000000000000,0.140000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,143.250000000000000,0.080000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,143.750000000000000,0.090000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.750000000000000,143.250000000000000,0.260000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.750000000000000,143.750000000000000,0.280000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,144.250000000000000,0.040000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,144.750000000000000,0.010000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.750000000000000,144.250000000000000,0.180000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.750000000000000,144.750000000000000,0.100000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,140.750000000000000,0.070000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,141.250000000000000,0.100000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,141.750000000000000,0.120000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.750000000000000,141.250000000000000,0.050000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.750000000000000,141.750000000000000,0.090000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,142.250000000000000,0.150000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,142.750000000000000,0.210000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,143.250000000000000,0.220000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,143.750000000000000,0.280000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.750000000000000,143.250000000000000,0.270000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.750000000000000,143.750000000000000,0.260000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,144.250000000000000,0.300000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.250000000000000,144.750000000000000,0.230000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.750000000000000,144.250000000000000,0.320000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,42.750000000000000,144.750000000000000,0.370000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,43.750000000000000,141.750000000000000,0.130000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,43.250000000000000,144.250000000000000,0.040000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,43.250000000000000,144.750000000000000,0.400000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,43.750000000000000,144.250000000000000,0.190000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,43.750000000000000,144.750000000000000,0.470000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.250000000000000,140.250000000000000,0.010000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,140.250000000000000,0.050000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,140.750000000000000,0.030000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.250000000000000,141.750000000000000,0.140000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,141.250000000000000,0.040000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,141.750000000000000,0.110000000000000,N
